sentence_id,question,Keziah,Kathryn,Karim,Keziah reason,Kathryn reason,Karim reason,article_id,model,dataset,human_salience
10,How does the risk of nanosilver particles differ from conventional silver?,5.0,5,5,This is an important question to clarify to understand why this regulation is being put into place.,This question is relevant and would be helpful in understanding the possible negative impact of nano-silver.,"expands on idea introduced, part of main idea",3,chatgpt,inquisitive,5.0
10,What evidence or research has led the U.S. Environmental Protection Agency to require registration of nanosilver products?,2.0,4,4,This is somewhat redundant/answered by sentence 6. Consumers do not know the long-term effects of the nanosilver both for human health and the environment.,"This question would be helpful in adding more context to sentence 10, and could validate the EPA's concern. ",Adds credibility to idea/entity introduced,3,chatgpt,inquisitive,3.333333333333333
10,How are manufacturers expected to prove the worth and safety of nanosilver products before putting them in the environment?,3.0,3,5,Does not increase my personal understanding of the article,"It can be inferred that scientists would want to see more testing of the antibacterial properties of nano-silver, but exactly how companies go about this is not interesting or necessary to understand the article. ","Goes into main idea, mixing/expanding with new topics introduced",3,chatgpt,inquisitive,3.6666666666666665
10,Are there any regulations or guidelines in place for the use and disposal of nanosilver products to minimize potential risks to human health and the ecosystem?,3.0,5,5,Does not increase my personal understanding of the article,"Since the EPA seems especially concerned about nano-silver, it would be useful to know what  other regulations are in place to handle nano-silver. Particularly the disposal of nano-silver is interesting, since it is already used in a wide variety of products which will eventually end up in landfills. ",Expands main idea,3,chatgpt,inquisitive,4.333333333333333
13,"What does the term ""nanotechnology"" refer to in the context of consumer products?",3.0,4,5,Does not increase my personal understanding of the article,This question would be useful to clarify the use of nanotechnology and how it is incorporated into products.,clarifies introduced concept,3,chatgpt,inquisitive,4.0
13,"How has the presence of nanotechnology in consumer products become ""underground""?",2.0,2,2,The question is answered by sentence 12.,"This question has already been answered in sentence 12, which explains that nanomaterials  are not required to be labeled, so consumers don't necessarily know when nanotechnology has been used in a product. ","Answered by previous sentence 12, 13 is just a comment that adds on to this",3,chatgpt,inquisitive,2.0
13,What are some examples of consumer products that may contain nanotechnology?,2.0,4,3,The question is answered in sentence 3.,"This question isn't exactly necessary for understanding the article, but it would be interesting to know if there are unexpected products that use nanotechnology. It would be helpful in knowing how prevelant nanotechnology is in manufacturing.","Could expand, but the whole article has been listing examples",3,chatgpt,inquisitive,3.0
13,How does the use of nanotechnology in consumer products differ from traditional manufacturing methods?,3.0,3,3,Does not increase my personal understanding of the article,"This question seems rather redundant, since using nanotechnology is the difference. The answer could give some background on how nanotechnology is used in manufacturing, but that wouldn't help me to understand the article. ","expands on main subject, I don't think more expansion than ""uses nano-silver"" vs doesn't will help my understanding though",3,chatgpt,inquisitive,3.0
13,What are the potential benefits and drawbacks of using nanotechnology in consumer products?,4.0,4,4,The article discusses several drawbacks but could discuss the benefits more.,"The article already explans the positive and negative sides of nano-silver, but it would be useful context to understand both sides of nanotechnology in general, especially since it seems so prevelant in consumer products.  ","Related to anchor, more general, further expansion on ideas introduced",3,chatgpt,inquisitive,4.0
16,How did ancient civilizations discover that silver could treat open wounds?,3.0,4,3,Does not increase my personal understanding of the article,"While this question isn't necessary to understanding the article, it would be interesting to know. ",Details about topic introduced,3,chatgpt,inquisitive,3.333333333333333
16,What specific properties of silver make it effective in killing germs?,5.0,2,4,This question is essential to understanding why silver is being discussed as a potential bacteria killer in this article.,"This question is already answered in sentence 15, which explains that the silver ions released during oxidation are  lethal to bacteria. ","Expansion on topic introduced, sort of answered by line 15",3,chatgpt,inquisitive,3.6666666666666665
16,How did American pioneers come to the conclusion that silver coins could keep water fresh?,3.0,4,3,The question does not increase my personal understanding and strays from the main points of the article.,"While this question isn't necessary to understand the article, it would be interesting to know. ",Details on topic introduced,3,chatgpt,inquisitive,3.333333333333333
16,Were there any other uses for silver in ancient civilizations besides treating open wounds?,3.0,3,3,The question does not increase my personal understanding and strays from the main points of the article.,"This question is somewhat relevant, but the main focus of the article isn't silver itself, but its antibacterial properties, so the quetsion is superfluous. ","Details about topic introduced, more examples don't help my understanding",3,chatgpt,inquisitive,3.0
16,How did the knowledge of silver's antimicrobial properties get passed down through generations?,4.0,3,3,Providing information on this could give context to why silver is used today.,"This question is rather intutitive to know how  information is passed down through history, and knowing the particulars is not helpful in understanding the article. ","Details on topic introduced, strays from main idea",3,chatgpt,inquisitive,3.333333333333333
4,What are nano-sized silver?,3.0,2,2,"I can see why the question is being asked, but personally I can infer what ""nano-sized"" silver is, so I woud not need the question answered","This question is relevant, but I believe that the name nano-sized silver is rather intuitive, and further detailsdon't seem necessary to understanding the article. ","Clarification on word meaning, not topic introduced",3,llama,inquisitive,2.333333333333333
4,What are the various materials that the manufacturers are able to incorporate the nano-sized silver into?,2.0,4,2,Mostly answered by sentences 2 & 3,"Sentence 3 already lists out some products that can inorporate nano-silver, but it would be interesting to understand the full scope of how nano-silver could be used by knowing what type of materials can incorporate it. ","Could expand more, but sentence 3 answers this",3,llama,inquisitive,2.6666666666666665
4,What are some examples of products that are made possible by these advances in technology?,4.0,2,2,This is a good question to ask to elaborate more on why silver is bacteria-resistant,"Sentence 3 already has plenty of examples of products that use nano-silver, and adding more wouldn't explain anymore about nano-silver.",Sentence 3 answers this,3,llama,inquisitive,2.6666666666666665
4,How does the incorporation of nano-sized silver into these products help to kill germs?,4.0,5,5,This question would help explain how the nano-sized silver would function in these products,"This question would be useful both in understanding how silver is antibacterial, which isn't fully explained, as well as evaluating how effective products with nano-silver are in fighting bacteria. ","Expands on topic introduced, can influence narritive",3,llama,inquisitive,4.666666666666667
4,What is the significance of the fact that these advances in technology allow manufacturers to create nano-sized silver?,3.0,2,2,Does not increase my personal understanding of the article,"I believe this is somewhat explained in the prior context, that the ability to manufacture nano-sized silver allows companies to incorporate nano-silver into various products, that they then market as anti-bacterial. ","Could expand, but sentence 3 answers this",3,llama,inquisitive,2.333333333333333
7,What is triclosan?,2.0,2,2,This is answered by sentence 7,"Sentence 7 already explains that triclosan is an ingrediant used in antibacterial products like soap or cosmetics, and going into more detail is tangential to the article. ",Sentence 7 answers this,3,llama,inquisitive,2.0
7,How does triclosan lose its power to fight infections?,2.0,4,2,This is answered by sentence 7,"Because of the article makes a comparison between silver and triclosan, it would be interesting to understand how bacteria becomes resistant to triclosan to better understand how the same problem might happen with silver. ","Triclosan is not fighting infections, its preventing them by being antibacterial",3,llama,inquisitive,2.6666666666666665
7,What is the relationship between triclosan and bacteria?,2.0,2,2,This is answered by sentence 7,"Sentence 7 already explains that triclosan is used in antibacterial products, but that bacteria has become more resistant to triclosan. ",Sentence 7 answers this,3,llama,inquisitive,2.0
7,"How does the use of triclosan in soaps, cosmetics, and other commercial goods affect the environment?",3.0,3,3,"Does not increase my personal understanding of the article - the article is mostly about nanosilver, so I would be more interested in the environmental effects of nanosilver in common products","This question is relevant to sentence 7, but it is rather tangential, since the article is focused on commercial manufacturing with nano-silver.","Expands on thing introduced, slighlty off-topic direction ",3,llama,inquisitive,3.0
7,What are some potential health risks associated with exposure to triclosan?,3.0,3,3,"Does not increase my personal understanding of the article - like the sentence above, I would ask this question about silver/nanosilver rather tahan triclosan","This question is relevant to sentence 7, but doesn't seem very important to understanding the article which is mostly focused on the impact of using nano-silver in the production of commerical goods. ","Not focusing on Triclosan, it was just an example of bacteria growing resistant",3,llama,inquisitive,3.0
10,What does the U.S. Environmental Protection Agency recently began requiring manufacturers of nanosilver to register their products?,0.0,0,0,The question wording makes the question difficult to understand,"Sentence 10 already explains that the EPA is concerned about the different risks nano-silver pose compared to regular silver, however, more details into what these risks may be, and if there are specific incidents that have raised concern, would help validate the EPA's reasoning. (Poor grammar)",Bad grammar,3,llama,inquisitive,0.0
10,What does the sentence mean by saying the particles could pose different risks than conventional silver?,4.0,2,4,This question is helpful to understand the potential effects of nanonsilver in common products,"This question is somewhat answered through prior context, in that not enough testing has been done on the possible risks of commercial manufacturing using nano-silver. Other groups have already expressed concern on the health and ecological problems nano-silver could pose, since the use is so widespread compared to regular silver. ","Clarification on idea introduced, could lead to important details",3,llama,inquisitive,3.333333333333333
10,What is the purpose of requiring manufacturers to register their products?,2.0,5,4,"An answer could be inferred from sentence 10, so this question is slightly redundant","This  question would be useful in understanding how the EPA plans to regulate commerical manufacturing with nano-silver, and could give a better understanding of how effective the EPA policies are.",Clarification on importance of idea introduced,3,llama,inquisitive,3.6666666666666665
10,"What is the significance of the phrase ""it's important to prove it's worth taking the risk before we put it in the environment""?",3.0,2,3,Does not increase my personal understanding of the article,"The intentions of the quote are clarified through prior context, which explains that there are unknown risks to widespread use of products with nano-silver, yet the benefits of these products haven't been verified. ","Odd question, will go off topic justifying sentence that is built into previous context",3,llama,inquisitive,2.6666666666666665
10,What does the sentence imply about the potential risks of using nanosilver?,2.0,2,2,This question is answered by sentence 10,Sentence 10 explains that the EPA is concerned that there may be additional risks to using nano-silver in commerical products as opposed to regular silver.,"Sentence 10 answers this, question is uneccesary ",3,llama,inquisitive,2.0
13,Who is Emma Fauss?,2.0,2,2,The question is mostly answered by sentence 13,"Sentence 13 explains  that Emma Fauss helped on the Pew Project about nanotechnologies, and though more details could be added her background on nanotechnologies is already confirmed. ",Sentence 13 gives us enough context about her,3,llama,inquisitive,2.0
13,What is the Pew project?,4.0,2,3,The question is helpful to better understand where this information is coming from,Sentence 8 explains that the Pew project is a project on emerging nanotechnologies.,Gives us further detail about entity already introduced,3,llama,inquisitive,3.0
13,What did Emma Fauss compile in 2008?,2.0,2,2,The question is fully answered by sentence 13,Sentence 13 already mentions that Fauss compiled an inventory of commercial nanotechnology products in 2008.,Sentence 13 answers this,3,llama,inquisitive,2.0
13,"What does ""inventoried"" mean in this context?",0.0,0,0,Does not increase my personal understanding of the article,"Sentence 13 doesn't use the word 'inventoried', but instead 'inventory'. ","Asking for definition of inventory, but ""inventoried"" not mentioned in article",3,llama,inquisitive,0.0
13,What is the significance of the year 2008 in this sentence?,3.0,3,3,Does not increase my personal understanding of the article,"There isn't  anything to suggest that the year 2008 is important to understanding the article, so I'm not interested in this answer. ","Completely off topic, although related",3,llama,inquisitive,3.0
16,What kind of wounds did ancient civilizations use silver to treat?,3.0,2,3,Does not increase my personal understanding of the article,"Sentence 16 already explains that silver was used to treat open wounds, and more detailed descriptions wouldn't add to my understanding of the article. ",Extraneous detail about topic introduced,3,llama,inquisitive,2.6666666666666665
16,Why did American pioneers toss silver coins into water storage barrels?,2.0,2,2,Sentence 16 states that this was done to keep water fresh,Sentence 16 already explains that silver coins were used to keep water fresh.,Answered in sentence 16,3,llama,inquisitive,2.0
16,How did silver keep water fresh?,2.0,2,3,The question is answered by sentence 16,"Sentence 15 explains that the ions silver produces when it oxidizes are lethal to bacteria, and this concept can be applied to why silver would keep water fresh and free of bacteria. ","Expands on idea introduced, but this veers slightly off topic w specificity of ""fresh""",3,llama,inquisitive,2.333333333333333
16,Was there a specific type of silver used for these purposes?,3.0,3,3,Does not increase my personal understanding of the article,"There isn't anything to suggest that the type of silver is important to this process, so I'm not interested in this question. ",Details about topic introduced,3,llama,inquisitive,3.0
16,How does silver oxidize and release silver ions to kill germs?,0.0,0,0,The question clarifies concepts introduced in sentence 15 and how silver functions to kill microbes,"Question anchored in sentence 15, not sentence 16. ","Two questions, goes into a lot of detail about the chemical process, would mark as 3",3,llama,inquisitive,0.0
4,What is the size of the box?,3.0,3,3,Does not increase my personal understanding of the article,"This question isn't important to the article, so I'm not interested in the answer as it won't help my understanding. ",Extraneous details about item introduced,4,llama,inquisitive,3.0
4,How many keyboards and wires are in the box?,3.0,3,3,Does not increase my personal understanding of the article,"This question is relevant to the article, but rather superfluous  and won't help me understand the article. ",Extraneous details about item introduced,4,llama,inquisitive,3.0
4,Why is the box overflowing with keyboards and wires?,3.0,3,3,Does not increase my personal understanding of the article,"The question seems ratehr intuitive, as the article takes place in a scrapyard so it would be reasonable to assume that the stuff in the box was thrown out. More details wouldn't add to my understanding of the story. ","Goes off topic, too specific on item not part of main idea",4,llama,inquisitive,3.0
4,Where is the box located?,3.0,2,2,Does not increase my personal understanding of the article,"Sentence 3 explains that the article is describing a scrapyard somehow related to space shuttles, so the exact location isn't important to understanding the article.","Sentence 2 answers this, scrap yard",4,llama,inquisitive,2.333333333333333
4,How does the box relate to the space shuttle launch?,5.0,4,4,"The question could help provide context about what the article is about, as the reader doesn't know why the box has been brough up at this point","This question could add more context, as to why the article is focusing on a scrapyard, and expand on the topic of space shuttles that was previously introduced.","Expands on idea introduced, connects it to something more significant to the narritive",4,llama,inquisitive,4.333333333333333
7,What is the size of the sticker?,3.0,3,3,Does not increase my personal understanding of the article,"This question doesn't seem important to understanding the article, so I'm not interested in the article. ",Extraneous details about item introduced,4,llama,inquisitive,3.0
7,What is the color of the sticker?,2.0,2,2,The question is somewhat answered by sentence 7,Sentence 7 already mentions that the stickers are blue.,Sentence 7 answers this blue,4,llama,inquisitive,2.0
7,How many boxes are in the mountain of cardboard boxes?,3.0,3,2,Does not increase my personal understanding of the article,"This question  is superfluous to the main point of the article, and I don't believe it would help me understand the article. ","Sentence 6 answers this, related to anchor",4,llama,inquisitive,2.6666666666666665
7,How many sides does the box with the keyboard and wires have?,0.0,0,0,The question has little relevance to explaining what is going on in the article,"This question is anchored in sentence 4, not sentence 7. ",Sentence 4 anchor,4,llama,inquisitive,0.0
7,What is the purpose of the stickers?,4.0,3,5,The question explains why the stickers are significant and how they are related to the topic,"It can be inferred that the stickers are ment to mark these boxes as belonging to NASA, and a more detailed explanation doesn't seem necessary in answering the question. ","Asks about mysterious information, the sticker was mentioned for a reason",4,llama,inquisitive,4.0
10,"What is the meaning of the word ""critical"" in this context?",0.0,0,0,Does not increase my personal understanding of the article,"The word 'critical' doesn't appear in sentence 10, question is probably anchored in sentence 8. ","Asking for definition, anchored in sentence 8",4,llama,inquisitive,0.0
10,"What does the phrase ""handle with extreme care"" mean in this context?",0.0,0,0,The question is redundant and self-explanatory,Question is anchored in sentence 9.,"Anchor sentence 9, asking for definition",4,llama,inquisitive,0.0
10,What is the purpose of the baskets in the context of the story?,4.0,2,5,The question clarifies concepts introduced in sentence 10 and asks to provide needed context,Sentence 9 already explains that the baskets were used to evacuate astronauts in case of emergency before launch.,Expands on mysterious object introduced,4,llama,inquisitive,3.6666666666666665
10,What is the function of the forklift in moving the baskets?,2.0,2,2,The question is answered in sentence 10,Sentence 10 describes that the forklifts are used to lift the heavy baskets into the trailer.,"Answered by sentence 10, it lifts them",4,llama,inquisitive,2.0
10,"What does it mean to ""set it into a trailer""?",2.0,2,2,The question is redundant and self-explanatory given the context,Sentence 10 describes that the baskets are being put into a trailer.,"Answers itself, sentence 10",4,llama,inquisitive,2.0
13,Who is Jenkins?,5.0,5,5,The question is essential to understanding the role Jenkins plays in the article and why he was brought up,"This question would be useful to understand why Jenkins is so important to the article, as no information is given, but he seems to be the main focus of the story. ","Expands on person mentioned in anchor, introduced earlier, he must be important",4,llama,inquisitive,5.0
13,What is the context of the sentence?,1.0,2,2,The question is extremely vague/generic and could be asked at any point in the article,Sentences 9 through 12 describe how Jenkins is conducting the transport of the escape baskets.,"sentence 11 gives us the context, the perfect is directed at the retreiving of the baskets mentioned previously",4,llama,inquisitive,1.6666666666666667
13,What is the purpose of Jenkins' thumbs-up?,0.0,0,0,The question is fairly self-explanatory,Question is anchored in sentence 12.,"Sentence 12 and 13 give us context that this is a normal thumbs up, no need for clarification, anchored in sentence 12",4,llama,inquisitive,0.0
13,"What does the word ""critical"" mean in the context of the sentence?",0.0,0,0,"The question is not anchored in this group of sentences (""critical"" was found in sentence 8)","Sentence 13 doesn't contain the word 'critical', the question is probably anchored in sentence 8. ",Anchored in sentence 8,4,llama,inquisitive,0.0
13,What is the significance of the escape baskets?,0.0,0,0,Sentence 9 explains the purpose of the escape baskets,Question anchored in prior context such as sentence s 9 and 10.,Anchored in sentence 9,4,llama,inquisitive,0.0
16,What is the Exposition Park museum's crown jewel?,2.0,2,2,The question is redundant and is answered by setnence 15,"Sentence 15 explains that the museum us trying to diplay their oriter, the Endevour. ","Sentence 15, endeavor is the crown jewel, at least by the set up bw sentence 15 & 16",4,llama,inquisitive,2.0
16,Where are the parts scattered?,5.0,2,2,This is a good question to answer to clarify the next steps in being able to assemble the full display,"Sentence 16 describes that the pieces are scattered at NASA facilities and museums, and more specific locations don't seem necessary, as it also clarifies that the pieces are in the U.S.","Sentence 16 answers this, pieces of the launchpad",4,llama,inquisitive,3.0
16,What does it mean to pull off a display?,3.0,2,2,Does not increase my personal understanding of the article,Sentence 16 explains that to pull of the display they need to collect many different pieces so that the orbital will look like it is on a launch pad.,"Sentence 16, asking for definition of expression",4,llama,inquisitive,2.333333333333333
16,How will they showcase the crown jewel as if it's on the launch pad?,2.0,2,2,answered by sentence 16 ,Sentence 15 and 16 explain that the museum is working with Jenkins to try and collect different  pieces around the U.S. to recreat the launch pad.,Answered prev,4,llama,inquisitive,2.0
16,What is the significance of this display?,4.0,5,5,This question clarifies why this display is important,This question would help me understand the museum's motivation in completing such a difficult and probably expensive display.,Expands on the why of new idea introduced,4,llama,inquisitive,4.666666666666667
